"id";"date";"month_name";"year";"type";"country";"area";"location";"activity";"sex";"fatal"
831;"1934-08-26";"August";1934;"Unprovoked";"Australia";"Queensland";"Off Eva Island 20 miles from Cardwell";"Water leisure activity";"M";"Y"
832;"1938-03-21";"March";1938;"Unprovoked";"Fiji";"Viti Levu";"Singatoka River";"Water leisure activity";"M";"N"
833;"1945-09-16";"September";1945;"Sea Disaster";"Japan";"Ryukyu";"Unknown";"Water leisure activity";"M";"Y"
834;"1947-12-01";"December";1947;"Unprovoked";"Senegal";"Unknown";"Tiaroye, near Dakar, Cap Vert Peninsula";"Fishing, catching, or hunting";"M";"Y"
835;"1945-09-19";"September";1945;"Sea Disaster";"Okinawa";"Unknown";"Unknown";"Water leisure activity";"M";"N"
836;"1938-05-02";"May";1938;"Unprovoked";"India";"West Bengal";"Hooghley River near Budge-Budge";"Water leisure activity";"Not specified";"Y"
837;"1947-12-15";"December";1947;"Invalid";"South Africa";"KwaZulu-Natal";"Durban";"Not specified";"Not specified";"Y"
838;"1945-09-23";"September";1945;"Unprovoked";"Hong Kong";"Unknown";"Tweed Beach";"Water leisure activity";"M";"Y"
839;"1938-05-15";"May";1938;"Unprovoked";"Iraq";"Basrah City";"Ashar Canal, where people wash clothes & kitchen pans";"Water leisure activity";"M";"N"
840;"1947-12-21";"December";1947;"Unprovoked";"Australia";"New South Wales";"Watson Taylor's Lake, 25 miles south of Port Macquarie";"Fishing, catching, or hunting";"M";"N"
841;"1938-05-26";"May";1938;"Unprovoked";"Costa Rica";"Nicoya Peninsula";"Unknown";"Fishing, catching, or hunting";"M";"Y"
842;"1946-01-01";"January";1946;"Unprovoked";"South Africa";"Eastern Cape Province";"Pollock Beach, Port Elizabeth";"Recreational water sport";"M";"N"
843;"1948-01-25";"January";1948;"Unprovoked";"Australia";"New South Wales";"Mona Vale, near Sydney";"Recreational water sport";"M";"N"
844;"1938-06-08";"June";1938;"Unprovoked";"Australia";"New South Wales";"Manly";"Water leisure activity";"M";"N"
845;"1948-02-12";"February";1948;"Unprovoked";"Australia";"New South Wales";"Stockton Beach, Newcastle";"Water leisure activity";"M";"Y"
846;"1938-06-17";"June";1938;"Unprovoked";"Nicaragua";"Lower San Juan River";"Unknown";"Sinking or failure of vessel";"Not specified";"Y"
847;"1948-02-13";"February";1948;"Sea Disaster";"USA";"Texas";"Gulf of Mexico between Brownsville & Carmen, Mexico";"Water leisure activity";"M";"Y"
848;"1950-08-06";"August";1950;"Provoked";"El Salvador";"La Libertad";"Unknown";"Fishing, catching, or hunting";"M";"N"
849;"1948-03-01";"March";1948;"Provoked";"Papua New Guinea";"New Ireland Province, Bismarck Archipelago";"Punam Passage, Rataman census div, Namatanai";"Fishing, catching, or hunting";"M";"N"
850;"1954-11-20";"November";1954;"Unprovoked";"USA";"Wake Island";"Wilkes Islet Lagoon (Pacific Ocean north of the Marshall Islands)";"Fishing, catching, or hunting";"M";"N"
851;"1938-07-12";"July";1938;"Unprovoked";"Australia";"Torres Strait";"Off Bathurst Island";"Water leisure activity";"M";"Y"
852;"1948-03-11";"March";1948;"Invalid";"Senegal";"Cap Vert Peninsula";"Between Joal & Sangomar near Dakar";"Not specified";"Not specified";"Y"
853;"1954-12-04";"December";1954;"Unprovoked";"South Africa";"KwaZulu-Natal";"Rocket Hut Beach, Durban";"Water leisure activity";"M";"N"
854;"1938-07-17";"July";1938;"Provoked";"USA";"California";"Dana Point, Orange County";"Fishing, catching, or hunting";"M";"N"
855;"1948-03-13";"March";1948;"Unprovoked";"Kenya";"Coast Province";"Mombasa";"Not specified";"M";"Y"
856;"1950-10-04";"October";1950;"Unprovoked";"Australia";"Queensland";"Peterson's Beach, Sarina";"Fishing, catching, or hunting";"M";"N"
857;"1954-12-09";"December";1954;"Unprovoked";"Papua New Guinea";"Central Province";"Kila Beach, Port Moresby";"Water leisure activity";"M";"Y"
858;"1938-07-17";"July";1938;"Provoked";"Turkey";"Unknown";"Unknown";"Fishing, catching, or hunting";"M";"N"
859;"1950-10-08";"October";1950;"Unprovoked";"USA";"California";"Imperial Beach, San Diego County";"Recreational water sport";"M";"N"
860;"1948-04-10";"April";1948;"Provoked";"South Africa";"Western Cape Province";"Gansbaai";"Fishing, catching, or hunting";"M";"N"
861;"1954-12-11";"December";1954;"Unprovoked";"Australia";"Victoria";"Point Lonsdale";"Water leisure activity";"M";"Y"
862;"1950-11-12";"November";1950;"Boating";"Australia";"Queensland";"Yeppoon";"Recreational water sport";"M";"N"
863;"1938-07-18";"July";1938;"Unprovoked";"USA";"South Carolina";"Charleston";"Water leisure activity";"M";"N"
864;"1954-12-29";"December";1954;"Unprovoked";"American Samoa";"Tutuila Island";"Near tuna cannery in Pago Pago Harbor";"Accidents involving falling overboard from a vessel";"M";"Y"
865;"1948-05-10";"May";1948;"Provoked";"Iran";"Shatt-al-Arab River";"Unknown";"Fishing, catching, or hunting";"M";"N"
866;"1950-11-25";"November";1950;"Unprovoked";"Australia";"Queensland";"Burleigh Heads, Brisbane";"Recreational water sport";"M";"N"
867;"1938-08-18";"August";1938;"Provoked";"USA";"California";"Near Encino, Los Angeles County";"Fishing, catching, or hunting";"M";"N"
868;"1955-01-15";"January";1955;"Unprovoked";"South Africa";"KwaZulu-Natal";"A ford known as Brodies Coffin in St. Lucia Bay";"Water leisure activity";"M";"Y"
869;"1948-06-06";"June";1948;"Unprovoked";"Northern Mariana Islands";"Saipan";"Unknown";"Water leisure activity";"M";"N"
870;"1955-01-17";"January";1955;"Unprovoked";"Australia";"New South Wales";"Wyargine Point, Edwards Beach, Balmoral Beach, Sydney";"Fishing, catching, or hunting";"M";"Y"
871;"1938-08-29";"August";1938;"Unprovoked";"China";"North China";"Outer harbor, Hong Kong";"Water leisure activity";"M";"Y"
872;"1950-11-29";"November";1950;"Provoked";"Australia";"Northern Territory";"Goulburn Island";"Water leisure activity";"M";"N"
873;"1948-07-01";"July";1948;"Unprovoked";"USA";"US Virgin Islands";"St. John, Genti Bay";"Water leisure activity";"M";"Y"
874;"1955-02-01";"February";1955;"Boating";"Australia";"New South Wales";"Coff’s Harbor";"Recreational water sport";"Not specified";"N"
875;"1950-12-16";"December";1950;"Unprovoked";"Australia";"Queensland";"Palm Beach North, 5 miles north of Burleigh Heads, Brisbane";"Water leisure activity";"M";"Y"
876;"1955-02-01";"February";1955;"Boating";"Australia";"New South Wales";"Parramatta River";"Recreational water sport";"Not specified";"N"
877;"1950-12-19";"December";1950;"Unprovoked";"Australia";"New South Wales";"Jervis Bay";"Water leisure activity";"Not specified";"N"
878;"1955-02-04";"February";1955;"Unprovoked";"India";"Tamil Nadu";"Vanagiri, Madras (Chennai), Bay of Bengal";"Fishing, catching, or hunting";"M";"N"
879;"1950-12-31";"December";1950;"Unprovoked";"Australia";"Queensland";"Kirra";"Recreational water sport";"M";"N"
880;"1955-02-05";"February";1955;"Unprovoked";"Australia";"New South Wales";"Sugarloaf Bay, Middle Harbor, Sydney";"Water leisure activity";"M";"Y"
881;"1938-10-05";"October";1938;"Provoked";"Australia";"Queensland";"Between Wynnum & St. Helena Island";"Fishing, catching, or hunting";"M";"N"
882;"1951-01-03";"January";1951;"Invalid";"Australia";"New South Wales";"Hawkesbury River";"Not specified";"M";"Y"
883;"1955-02-06";"February";1955;"Unprovoked";"USA";"California";"Pacific Grove, Monterey County";"Fishing, catching, or hunting";"M";"N"
884;"1938-12-27";"December";1938;"Unprovoked";"Australia";"New South Wales";"North Beach, Belligen River";"Water leisure activity";"M";"Y"
885;"1948-08-01";"August";1948;"Provoked";"Bahamas";"Bimini Islands";"Lerner Marine Laboratory";"Fishing, catching, or hunting";"M";"N"
886;"1951-01-21";"January";1951;"Unprovoked";"South Africa";"KwaZulu-Natal";"Native Beach, Durban";"Water leisure activity";"M";"Y"
887;"1955-02-10";"February";1955;"Unprovoked";"USA";"California";"Trinidad Bay, Humboldt County";"Water leisure activity";"M";"N"
888;"1948-08-03";"August";1948;"Unprovoked";"Iran";"Shatt-al-Arab River";"Bashamir";"Water leisure activity";"M";"N"
889;"1955-03-01";"March";1955;"Provoked";"Australia";"Western Australia";"Woodman’s Point";"Water leisure activity";"M";"N"
890;"1951-02-01";"February";1951;"Unprovoked";"Australia";"New South Wales";"Bondi Beach";"Water leisure activity";"M";"N"
891;"1948-08-19";"August";1948;"Unprovoked";"Iran";"Shatt-al-Arab River";"Unknown";"Not specified";"M";"Y"
892;"1955-03-01";"March";1955;"Unprovoked";"Papua New Guinea";"New Ireland, Bismarck Archipelago";"Kabiman, West coast";"Fishing, catching, or hunting";"M";"N"
893;"1951-02-03";"February";1951;"Unprovoked";"Australia";"New South Wales";"Windang, near the entrance to Lake Illawarra";"Fishing, catching, or hunting";"M";"N"
894;"1948-09-02";"September";1948;"Unprovoked";"Iran";"Bandar Ma’shur sea inlet";"Unknown";"Water leisure activity";"F";"Y"
895;"1955-03-09";"March";1955;"Unprovoked";"Australia";"New South Wales";"Wamberal";"Recreational water sport";"M";"Y"
896;"1951-02-19";"February";1951;"Unprovoked";"South Africa";"Eastern Cape Province";"Port St. Johns";"Recreational water sport";"M";"N"
897;"1948-09-17";"September";1948;"Unprovoked";"Turkey";"Adana Province";"Yumurtalik";"Water leisure activity";"M";"Y"
898;"1955-04-01";"April";1955;"Unprovoked";"USA";"Hawaii";"Hilo, Hawai'i";"Fishing, catching, or hunting";"M";"N"
899;"1951-03-15";"March";1951;"Unprovoked";"South Africa";"KwaZulu-Natal";"South Beach, Durban";"Recreational water sport";"M";"N"
900;"1948-09-19";"September";1948;"Unprovoked";"USA";"Hawaii";"Off Makapauu Point, O'ahu";"Fishing, catching, or hunting";"M";"N"
901;"1958-04-03";"April";1958;"Unprovoked";"South Africa";"KwaZulu-Natal";"Port Edward";"Water leisure activity";"M";"Y"
902;"1955-04-12";"April";1955;"Unprovoked";"Papua New Guinea";"Unknown";"Abau";"Fishing, catching, or hunting";"M";"N"
903;"1951-03-24";"March";1951;"Unprovoked";"Australia";"New South Wales";"Sydney";"Fishing, catching, or hunting";"M";"N"
904;"1955-04-13";"April";1955;"Unprovoked";"Papua New Guinea";"Central Province";"Hadrian’s (Haidana) Island, near Port Moresby";"Fishing, catching, or hunting";"M";"N"
905;"1951-03-26";"March";1951;"Provoked";"Australia";"New South Wales";"Avalon";"Recreational water sport";"M";"N"
906;"1958-04-05";"April";1958;"Unprovoked";"South Africa";"KwaZulu-Natal";"Uvongo";"Recreational water sport";"F";"Y"
907;"1955-05-01";"May";1955;"Unprovoked";"Papua New Guinea";"Admiralty Islands, Manus Province";"Lou Island, south of Manus Island";"Fishing, catching, or hunting";"M";"N"
908;"1948-09-19";"September";1948;"Unprovoked";"USA";"Hawaii";"Off Makapauu Point, O'ahu";"Water leisure activity";"M";"N"
909;"1958-04-19";"April";1958;"Unprovoked";"Taiwan";"Taipei Hsien";"Off Cape of Pi-tou";"Water leisure activity";"M";"N"
910;"1951-05-09";"May";1951;"Provoked";"Italy";"Naples Province";"Torre del Greco, Naples";"Not specified";"Not specified";"N"
911;"1955-05-08";"May";1955;"Provoked";"USA";"California";"Malibu, Los Angeles County";"Fishing, catching, or hunting";"M";"N"
912;"1955-07-07";"July";1955;"Unprovoked";"Yemen";"Aden";"Telegraph Bay";"Water leisure activity";"F";"Y"
913;"1958-04-30";"April";1958;"Provoked";"USA";"Florida";"Unknown";"Water leisure activity";"M";"N"
914;"1948-09-22";"September";1948;"Unprovoked";"Greece";"Attica";"Keratsini";"Water leisure activity";"M";"Y"
915;"1951-05-22";"May";1951;"Unprovoked";"Mexico";"Unknown";"Unknown";"Water leisure activity";"M";"N"
916;"1955-07-15";"July";1955;"Unprovoked";"Montenegro";"Adriatic Sea";"Budva";"Water leisure activity";"M";"Y"
917;"1951-06-01";"June";1951;"Unprovoked";"French Polynesia";"Tuamotus";"Outer edge of Hikueru, one of the Central Tuamotu atolls";"Fishing, catching, or hunting";"M";"N"
918;"1948-11-18";"November";1948;"Unprovoked";"Australia";"Torres Strait";"Saibai Island, 80 miles north of Cape York";"Water leisure activity";"M";"N"
919;"1958-06-02";"June";1958;"Invalid";"South Africa";"KwaZulu-Natal";"King Reef off Park Rynie";"Fishing, catching, or hunting";"M";"N"
920;"1955-07-23";"July";1955;"Unprovoked";"USA";"Rhode Island";"Occupasstuxet  (Patuxent) Cove";"Water leisure activity";"M";"N"
921;"1951-06-25";"June";1951;"Unprovoked";"USA";"Hawaii";"Kapehu Beach, Laupahoehoe, Hawai'i";"Fishing, catching, or hunting";"M";"Y"
922;"1948-12-10";"December";1948;"Unprovoked";"Australia";"Queensland";"Rib Reef off Townsville";"Fishing, catching, or hunting";"M";"N"
923;"1955-07-25";"July";1955;"Unprovoked";"Japan";"Okayama Prefecture";"Usimado-no-Seto";"Not specified";"M";"Y"
924;"1958-06-15";"June";1958;"Invalid";"Australia";"Queensland";"Green Island";"Water leisure activity";"F";"N"
925;"1951-07-19";"July";1951;"Unprovoked";"USA";"California";"Long Beach, Los Angeles County";"Not specified";"M";"N"
926;"1955-08-01";"August";1955;"Boating";"Australia";"South Australia";"Port Augusta";"Fishing, catching, or hunting";"Not specified";"N"
927;"1958-06-17";"June";1958;"Provoked";"USA";"Florida";"Key Biscayne";"Water leisure activity";"M";"N"
